nhb_p,tfn_agg_at,nhb_m,g,soc,ns,ca
12,3,2,1,1,3,2
12,3,2,1,1,4,1
12,3,2,1,1,4,2
12,3,2,1,1,5,1
12,3,2,1,1,5,2
12,3,2,1,2,1,1
12,3,2,1,2,1,2
12,3,2,1,2,2,1
12,3,2,1,2,2,2
12,3,2,1,2,3,1
12,3,2,1,2,3,2
12,3,2,1,2,4,1
12,3,2,1,2,4,2
12,3,2,1,2,5,1
12,3,2,1,2,5,2
12,3,2,1,3,1,1
12,3,2,1,3,1,2
12,3,2,1,3,2,1
12,3,2,1,3,2,2
12,3,2,1,3,3,1
12,3,2,1,3,3,2
12,3,2,1,3,4,1
12,3,2,1,3,4,2
12,3,2,1,3,5,1
12,3,2,1,3,5,2
12,3,2,2,1,1,1
12,3,2,2,1,1,2
12,3,2,2,1,2,1
12,3,2,2,1,2,2
12,3,2,2,1,3,1
12,3,2,2,1,3,2
12,3,2,2,1,4,1
12,3,2,2,1,4,2
12,3,2,2,1,5,1
12,3,2,2,1,5,2
12,3,2,2,2,1,1
12,3,2,2,2,1,2
12,3,2,2,2,2,1
12,3,2,2,2,2,2
12,3,2,2,2,3,1
12,3,2,2,2,3,2
12,3,2,2,2,4,1
12,3,2,2,2,4,2
12,3,2,2,2,5,1
12,3,2,2,2,5,2
12,3,2,2,3,1,1
12,3,2,2,3,1,2
12,3,2,2,3,2,1
12,3,2,2,3,2,2
12,3,2,2,3,3,1
12,3,2,2,3,3,2
12,3,2,2,3,4,1
12,3,2,2,3,4,2
12,3,2,2,3,5,1
12,3,2,2,3,5,2
12,3,2,3,1,1,1
12,3,2,3,1,1,2
12,3,2,3,1,2,1
12,3,2,3,1,2,2
12,3,2,3,1,3,1
12,3,2,3,1,3,2
12,3,2,3,1,4,1
12,3,2,3,1,4,2
12,3,2,3,1,5,1
12,3,2,3,1,5,2
12,3,2,3,2,1,1
12,3,2,3,2,1,2
12,3,2,3,2,2,1
12,3,2,3,2,2,2
12,3,2,3,2,3,1
12,3,2,3,2,3,2
12,3,2,3,2,4,1
12,3,2,3,2,4,2
12,3,2,3,2,5,1
12,3,2,3,2,5,2
12,3,2,3,3,1,1
12,3,2,3,3,1,2
12,3,2,3,3,2,1
12,3,2,3,3,2,2
12,3,2,3,3,3,1
12,3,2,3,3,3,2
12,3,2,3,3,4,1
12,3,2,3,3,4,2
12,3,2,3,3,5,1
12,3,2,3,3,5,2
12,3,3,1,1,1,1
12,3,3,1,1,1,2
12,3,3,1,1,2,1
12,3,3,1,1,2,2
12,3,3,1,1,3,1
12,3,3,1,1,3,2
12,3,3,1,1,4,1
12,3,3,1,1,4,2
12,3,3,1,1,5,1
12,3,3,1,1,5,2
12,3,3,1,2,1,1
12,3,3,1,2,1,2
12,3,3,1,2,2,1
12,3,3,1,2,2,2
12,3,3,1,2,3,1
12,3,3,1,2,3,2
12,3,3,1,2,4,1
12,3,3,1,2,4,2
12,3,3,1,2,5,1
12,3,3,1,2,5,2
12,3,3,1,3,1,1
12,3,3,1,3,1,2
12,3,3,1,3,2,1
12,3,3,1,3,2,2
12,3,3,1,3,3,1
12,3,3,1,3,3,2
12,3,3,1,3,4,1
12,3,3,1,3,4,2
12,3,3,1,3,5,1
12,3,3,1,3,5,2
12,3,3,2,1,1,1
12,3,3,2,1,1,2
12,3,3,2,1,2,1
12,3,3,2,1,2,2
12,3,3,2,1,3,1
12,3,3,2,1,3,2
12,3,3,2,1,4,1
12,3,3,2,1,4,2
12,3,3,2,1,5,1
12,3,3,2,1,5,2
12,3,3,2,2,1,1
12,3,3,2,2,1,2
12,3,3,2,2,2,1
12,3,3,2,2,2,2
12,3,3,2,2,3,1
12,3,3,2,2,3,2
12,3,3,2,2,4,1
12,3,3,2,2,4,2
12,3,3,2,2,5,1
12,3,3,2,2,5,2
12,3,3,2,3,1,1
12,3,3,2,3,1,2
12,3,3,2,3,2,1
12,3,3,2,3,2,2
12,3,3,2,3,3,1
12,3,3,2,3,3,2
12,3,3,2,3,4,1
12,3,3,2,3,4,2
12,3,3,2,3,5,1
12,3,3,2,3,5,2
12,3,3,3,1,1,1
12,3,3,3,1,1,2
12,3,3,3,1,2,1
12,3,3,3,1,2,2
12,3,3,3,1,3,1
12,3,3,3,1,3,2
12,3,3,3,1,4,1
12,3,3,3,1,4,2
12,3,3,3,1,5,1
12,3,3,3,1,5,2
12,3,3,3,2,1,1
12,3,3,3,2,1,2
12,3,3,3,2,2,1
12,3,3,3,2,2,2
12,3,3,3,2,3,1
12,3,3,3,2,3,2
12,3,3,3,2,4,1
12,3,3,3,2,4,2
12,3,3,3,2,5,1
12,3,3,3,2,5,2
12,3,3,3,3,1,1
12,3,3,3,3,1,2
12,3,3,3,3,2,1
12,3,3,3,3,2,2
12,3,3,3,3,3,1
12,3,3,3,3,3,2
12,3,3,3,3,4,1
12,3,3,3,3,4,2
12,3,3,3,3,5,1
12,3,3,3,3,5,2
12,3,5,1,1,1,1
12,3,5,1,1,1,2
12,3,5,1,1,2,1
12,3,5,1,1,2,2
12,3,5,1,1,3,1
12,3,5,1,1,3,2
12,3,5,1,1,4,1
12,3,5,1,1,4,2
12,3,5,1,1,5,1
12,3,5,1,1,5,2
12,3,5,1,2,1,1
12,3,5,1,2,1,2
12,3,5,1,2,2,1
12,3,5,1,2,2,2
12,3,5,1,2,3,1
12,3,5,1,2,3,2
12,3,5,1,2,4,1
12,3,5,1,2,4,2
12,3,5,1,2,5,1
12,3,5,1,2,5,2
12,3,5,1,3,1,1
12,3,5,1,3,1,2
12,3,5,1,3,2,1
12,3,5,1,3,2,2
12,3,5,1,3,3,1
12,3,5,1,3,3,2
12,3,5,1,3,4,1
12,3,5,1,3,4,2
12,3,5,1,3,5,1
12,3,5,1,3,5,2
12,3,5,2,1,1,1
12,3,5,2,1,1,2
12,3,5,2,1,2,1
12,3,5,2,1,2,2
12,3,5,2,1,3,1
12,3,5,2,1,3,2
12,3,5,2,1,4,1
12,3,5,2,1,4,2
12,3,5,2,1,5,1
12,3,5,2,1,5,2
12,3,5,2,2,1,1
12,3,5,2,2,1,2
12,3,5,2,2,2,1
12,3,5,2,2,2,2
12,3,5,2,2,3,1
12,3,5,2,2,3,2
12,3,5,2,2,4,1
12,3,5,2,2,4,2
12,3,5,2,2,5,1
12,3,5,2,2,5,2
12,3,5,2,3,1,1
12,3,5,2,3,1,2
12,3,5,2,3,2,1
12,3,5,2,3,2,2
12,3,5,2,3,3,1
12,3,5,2,3,3,2
12,3,5,2,3,4,1
12,3,5,2,3,4,2
12,3,5,2,3,5,1
12,3,5,2,3,5,2
12,3,5,3,1,1,1
12,3,5,3,1,1,2
12,3,5,3,1,2,1
12,3,5,3,1,2,2
12,3,5,3,1,3,1
12,3,5,3,1,3,2
12,3,5,3,1,4,1
12,3,5,3,1,4,2
12,3,5,3,1,5,1
12,3,5,3,1,5,2
12,3,5,3,2,1,1
12,3,5,3,2,1,2
12,3,5,3,2,2,1
12,3,5,3,2,2,2
12,3,5,3,2,3,1
12,3,5,3,2,3,2
12,3,5,3,2,4,1
12,3,5,3,2,4,2
12,3,5,3,2,5,1
12,3,5,3,2,5,2
12,3,5,3,3,1,1
12,3,5,3,3,1,2
12,3,5,3,3,2,1
12,3,5,3,3,2,2
12,3,5,3,3,3,1
12,3,5,3,3,3,2
12,3,5,3,3,4,1
12,3,5,3,3,4,2
12,3,5,3,3,5,1
12,3,5,3,3,5,2
12,3,6,1,1,1,1
12,3,6,1,1,1,2
12,3,6,1,1,2,1
12,3,6,1,1,2,2
12,3,6,1,1,3,1
12,3,6,1,1,3,2
12,3,6,1,1,4,1
12,3,6,1,1,4,2
12,3,6,1,1,5,1
12,3,6,1,1,5,2
12,3,6,1,2,1,1
12,3,6,1,2,1,2
12,3,6,1,2,2,1
12,3,6,1,2,2,2
12,3,6,1,2,3,1
12,3,6,1,2,3,2
12,3,6,1,2,4,1
12,3,6,1,2,4,2
12,3,6,1,2,5,1
12,3,6,1,2,5,2
12,3,6,1,3,1,1
12,3,6,1,3,1,2
12,3,6,1,3,2,1
12,3,6,1,3,2,2
12,3,6,1,3,3,1
12,3,6,1,3,3,2
12,3,6,1,3,4,1
12,3,6,1,3,4,2
12,3,6,1,3,5,1
12,3,6,1,3,5,2
12,3,6,2,1,1,1
12,3,6,2,1,1,2
12,3,6,2,1,2,1
12,3,6,2,1,2,2
12,3,6,2,1,3,1
12,3,6,2,1,3,2
12,3,6,2,1,4,1
12,3,6,2,1,4,2
12,3,6,2,1,5,1
12,3,6,2,1,5,2
12,3,6,2,2,1,1
12,3,6,2,2,1,2
12,3,6,2,2,2,1
12,3,6,2,2,2,2
12,3,6,2,2,3,1
12,3,6,2,2,3,2
12,3,6,2,2,4,1
12,3,6,2,2,4,2
12,3,6,2,2,5,1
12,3,6,2,2,5,2
12,3,6,2,3,1,1
12,3,6,2,3,1,2
12,3,6,2,3,2,1
12,3,6,2,3,2,2
12,3,6,2,3,3,1
12,3,6,2,3,3,2
12,3,6,2,3,4,1
12,3,6,2,3,4,2
12,3,6,2,3,5,1
12,3,6,2,3,5,2
12,3,6,3,1,1,1
12,3,6,3,1,1,2
12,3,6,3,1,2,1
12,3,6,3,1,2,2
12,3,6,3,1,3,1
12,3,6,3,1,3,2
12,3,6,3,1,4,1
12,3,6,3,1,4,2
12,3,6,3,1,5,1
12,3,6,3,1,5,2
12,3,6,3,2,1,1
12,3,6,3,2,1,2
12,3,6,3,2,2,1
12,3,6,3,2,2,2
12,3,6,3,2,3,1
12,3,6,3,2,3,2
12,3,6,3,2,4,1
12,3,6,3,2,4,2
12,3,6,3,2,5,1
12,3,6,3,2,5,2
12,3,6,3,3,1,1
12,3,6,3,3,1,2
12,3,6,3,3,2,1
12,3,6,3,3,2,2
12,3,6,3,3,3,1
12,3,6,3,3,3,2
12,3,6,3,3,4,1
12,3,6,3,3,4,2
12,3,6,3,3,5,1
12,3,6,3,3,5,2
13,1,1,1,1,1,1
13,1,1,1,1,1,2
13,1,1,1,1,2,1
13,1,1,1,1,2,2
13,1,1,1,1,3,1
13,1,1,1,1,3,2
13,1,1,1,1,4,1
13,1,1,1,1,4,2
13,1,1,1,1,5,1
13,1,1,1,1,5,2
13,1,1,1,2,1,1
13,1,1,1,2,1,2
13,1,1,1,2,2,1
13,1,1,1,2,2,2
13,1,1,1,2,3,1
13,1,1,1,2,3,2
13,1,1,1,2,4,1
13,1,1,1,2,4,2
13,1,1,1,2,5,1
13,1,1,1,2,5,2
13,1,1,1,3,1,1
13,1,1,1,3,1,2
13,1,1,1,3,2,1
13,1,1,1,3,2,2
13,1,1,1,3,3,1
13,1,1,1,3,3,2
13,1,1,1,3,4,1
13,1,1,1,3,4,2
13,1,1,1,3,5,1
13,1,1,1,3,5,2
13,1,1,2,1,1,1
13,1,1,2,1,1,2
13,1,1,2,1,2,1
13,1,1,2,1,2,2
13,1,1,2,1,3,1
13,1,1,2,1,3,2
13,1,1,2,1,4,1
13,1,1,2,1,4,2
13,1,1,2,1,5,1
13,1,1,2,1,5,2
13,1,1,2,2,1,1
13,1,1,2,2,1,2
13,1,1,2,2,2,1
13,1,1,2,2,2,2
13,1,1,2,2,3,1
13,1,1,2,2,3,2
13,1,1,2,2,4,1
13,1,1,2,2,4,2
13,1,1,2,2,5,1
13,1,1,2,2,5,2
13,1,1,2,3,1,1
13,1,1,2,3,1,2
13,1,1,2,3,2,1
13,1,1,2,3,2,2
13,1,1,2,3,3,1
13,1,1,2,3,3,2
13,1,1,2,3,4,1
13,1,1,2,3,4,2
13,1,1,2,3,5,1
13,1,1,2,3,5,2
13,1,1,3,1,1,1
13,1,1,3,1,1,2
13,1,1,3,1,2,1
13,1,1,3,1,2,2
13,1,1,3,1,3,1
13,1,1,3,1,3,2
13,1,1,3,1,4,1
13,1,1,3,1,4,2
13,1,1,3,1,5,1
13,1,1,3,1,5,2
13,1,1,3,2,1,1
13,1,1,3,2,1,2
13,1,1,3,2,2,1
13,1,1,3,2,2,2
13,1,1,3,2,3,1
13,1,1,3,2,3,2
13,1,1,3,2,4,1
13,1,1,3,2,4,2
13,1,1,3,2,5,1
13,1,1,3,2,5,2
13,1,1,3,3,1,1
13,1,1,3,3,1,2
13,1,1,3,3,2,1
13,1,1,3,3,2,2
13,1,1,3,3,3,1
13,1,1,3,3,3,2
13,1,1,3,3,4,1
13,1,1,3,3,4,2
13,1,1,3,3,5,1
13,1,1,3,3,5,2
13,1,2,1,1,1,1
13,1,2,1,1,1,2
13,1,2,1,1,2,1
13,1,2,1,1,2,2
13,1,2,1,1,3,1
13,1,2,1,1,3,2
13,1,2,1,1,4,1
13,1,2,1,1,4,2
13,1,2,1,1,5,1
13,1,2,1,1,5,2
13,1,2,1,2,1,1
13,1,2,1,2,1,2
13,1,2,1,2,2,1
13,1,2,1,2,2,2
13,1,2,1,2,3,1
13,1,2,1,2,3,2
13,1,2,1,2,4,1
13,1,2,1,2,4,2
13,1,2,1,2,5,1
13,1,2,1,2,5,2
13,1,2,1,3,1,1
13,1,2,1,3,1,2
13,1,2,1,3,2,1
13,1,2,1,3,2,2
13,1,2,1,3,3,1
13,1,2,1,3,3,2
13,1,2,1,3,4,1
13,1,2,1,3,4,2
13,1,2,1,3,5,1
13,1,2,1,3,5,2
13,1,2,2,1,1,1
13,1,2,2,1,1,2
13,1,2,2,1,2,1
13,1,2,2,1,2,2
13,1,2,2,1,3,1
13,1,2,2,1,3,2
13,1,2,2,1,4,1
13,1,2,2,1,4,2
13,1,2,2,1,5,1
13,1,2,2,1,5,2
13,1,2,2,2,1,1
13,1,2,2,2,1,2
13,1,2,2,2,2,1
13,1,2,2,2,2,2
13,1,2,2,2,3,1
13,1,2,2,2,3,2
13,1,2,2,2,4,1
13,1,2,2,2,4,2
13,1,2,2,2,5,1
13,1,2,2,2,5,2
13,1,2,2,3,1,1
13,1,2,2,3,1,2
13,1,2,2,3,2,1
13,1,2,2,3,2,2
13,1,2,2,3,3,1
13,1,2,2,3,3,2
13,1,2,2,3,4,1
13,1,2,2,3,4,2
13,1,2,2,3,5,1
13,1,2,2,3,5,2
13,1,2,3,1,1,1
13,1,2,3,1,1,2
13,1,2,3,1,2,1
13,1,2,3,1,2,2
13,1,2,3,1,3,1
13,1,2,3,1,3,2
13,1,2,3,1,4,1
13,1,2,3,1,4,2
13,1,2,3,1,5,1
13,1,2,3,1,5,2
13,1,2,3,2,1,1
13,1,2,3,2,1,2
13,1,2,3,2,2,1
13,1,2,3,2,2,2
13,1,2,3,2,3,1
13,1,2,3,2,3,2
13,1,2,3,2,4,1
13,1,2,3,2,4,2
13,1,2,3,2,5,1
13,1,2,3,2,5,2
13,1,2,3,3,1,1
13,1,2,3,3,1,2
13,1,2,3,3,2,1
13,1,2,3,3,2,2
13,1,2,3,3,3,1
13,1,2,3,3,3,2
13,1,2,3,3,4,1
13,1,2,3,3,4,2
13,1,2,3,3,5,1
13,1,2,3,3,5,2
13,1,3,1,1,1,1
13,1,3,1,1,1,2
13,1,3,1,1,2,1
13,1,3,1,1,2,2
13,1,3,1,1,3,1
13,1,3,1,1,3,2
13,1,3,1,1,4,1
13,1,3,1,1,4,2
13,1,3,1,1,5,1
13,1,3,1,1,5,2
13,1,3,1,2,1,1
13,1,3,1,2,1,2
13,1,3,1,2,2,1
13,1,3,1,2,2,2
13,1,3,1,2,3,1
13,1,3,1,2,3,2
13,1,3,1,2,4,1
13,1,3,1,2,4,2
13,1,3,1,2,5,1
13,1,3,1,2,5,2
13,1,3,1,3,1,1
13,1,3,1,3,1,2
13,1,3,1,3,2,1
13,1,3,1,3,2,2
13,1,3,1,3,3,1
13,1,3,1,3,3,2
13,1,3,1,3,4,1
13,1,3,1,3,4,2
13,1,3,1,3,5,1
13,1,3,1,3,5,2
13,1,3,2,1,1,1
13,1,3,2,1,1,2
13,1,3,2,1,2,1
13,1,3,2,1,2,2
13,1,3,2,1,3,1
13,1,3,2,1,3,2
13,1,3,2,1,4,1
13,1,3,2,1,4,2
13,1,3,2,1,5,1
13,1,3,2,1,5,2
13,1,3,2,2,1,1
13,1,3,2,2,1,2
13,1,3,2,2,2,1
13,1,3,2,2,2,2
13,1,3,2,2,3,1
13,1,3,2,2,3,2
13,1,3,2,2,4,1
13,1,3,2,2,4,2
13,1,3,2,2,5,1
13,1,3,2,2,5,2
13,1,3,2,3,1,1
13,1,3,2,3,1,2
13,1,3,2,3,2,1
13,1,3,2,3,2,2
13,1,3,2,3,3,1
13,1,3,2,3,3,2
13,1,3,2,3,4,1
13,1,3,2,3,4,2
13,1,3,2,3,5,1
13,1,3,2,3,5,2
13,1,3,3,1,1,1
13,1,3,3,1,1,2
13,1,3,3,1,2,1
13,1,3,3,1,2,2
13,1,3,3,1,3,1
13,1,3,3,1,3,2
13,1,3,3,1,4,1
13,1,3,3,1,4,2
13,1,3,3,1,5,1
13,1,3,3,1,5,2
13,1,3,3,2,1,1
13,1,3,3,2,1,2
13,1,3,3,2,2,1
13,1,3,3,2,2,2
13,1,3,3,2,3,1
13,1,3,3,2,3,2
13,1,3,3,2,4,1
13,1,3,3,2,4,2
13,1,3,3,2,5,1
13,1,3,3,2,5,2
13,1,3,3,3,1,1
13,1,3,3,3,1,2
13,1,3,3,3,2,1
13,1,3,3,3,2,2
13,1,3,3,3,3,1
13,1,3,3,3,3,2
13,1,3,3,3,4,1
13,1,3,3,3,4,2
13,1,3,3,3,5,1
13,1,3,3,3,5,2
13,1,5,1,1,1,1
13,1,5,1,1,1,2
13,1,5,1,1,2,1
13,1,5,1,1,2,2
13,1,5,1,1,3,1
13,1,5,1,1,3,2
13,1,5,1,1,4,1
13,1,5,1,1,4,2
13,1,5,1,1,5,1
13,1,5,1,1,5,2
13,1,5,1,2,1,1
13,1,5,1,2,1,2
13,1,5,1,2,2,1
13,1,5,1,2,2,2
13,1,5,1,2,3,1
13,1,5,1,2,3,2
13,1,5,1,2,4,1
13,1,5,1,2,4,2
13,1,5,1,2,5,1
13,1,5,1,2,5,2
13,1,5,1,3,1,1
13,1,5,1,3,1,2
13,1,5,1,3,2,1
13,1,5,1,3,2,2
13,1,5,1,3,3,1
13,1,5,1,3,3,2
13,1,5,1,3,4,1
13,1,5,1,3,4,2
13,1,5,1,3,5,1
13,1,5,1,3,5,2
13,1,5,2,1,1,1
13,1,5,2,1,1,2
13,1,5,2,1,2,1
13,1,5,2,1,2,2
13,1,5,2,1,3,1
13,1,5,2,1,3,2
13,1,5,2,1,4,1
13,1,5,2,1,4,2
13,1,5,2,1,5,1
13,1,5,2,1,5,2
13,1,5,2,2,1,1
13,1,5,2,2,1,2
13,1,5,2,2,2,1
13,1,5,2,2,2,2
13,1,5,2,2,3,1
13,1,5,2,2,3,2
13,1,5,2,2,4,1
13,1,5,2,2,4,2
13,1,5,2,2,5,1
13,1,5,2,2,5,2
13,1,5,2,3,1,1
13,1,5,2,3,1,2
13,1,5,2,3,2,1
13,1,5,2,3,2,2
13,1,5,2,3,3,1
13,1,5,2,3,3,2
13,1,5,2,3,4,1
13,1,5,2,3,4,2
13,1,5,2,3,5,1
13,1,5,2,3,5,2
13,1,5,3,1,1,1
13,1,5,3,1,1,2
13,1,5,3,1,2,1
13,1,5,3,1,2,2
13,1,5,3,1,3,1
13,1,5,3,1,3,2
13,1,5,3,1,4,1
13,1,5,3,1,4,2
13,1,5,3,1,5,1
13,1,5,3,1,5,2
13,1,5,3,2,1,1
13,1,5,3,2,1,2
13,1,5,3,2,2,1
13,1,5,3,2,2,2
13,1,5,3,2,3,1
13,1,5,3,2,3,2
13,1,5,3,2,4,1
13,1,5,3,2,4,2
13,1,5,3,2,5,1
13,1,5,3,2,5,2
13,1,5,3,3,1,1
13,1,5,3,3,1,2
13,1,5,3,3,2,1
13,1,5,3,3,2,2
13,1,5,3,3,3,1
13,1,5,3,3,3,2
13,1,5,3,3,4,1
13,1,5,3,3,4,2
13,1,5,3,3,5,1
13,1,5,3,3,5,2
13,1,6,1,1,1,1
13,1,6,1,1,1,2
13,1,6,1,1,2,1
13,1,6,1,1,2,2
13,1,6,1,1,3,1
13,1,6,1,1,3,2
13,1,6,1,1,4,1
13,1,6,1,1,4,2
13,1,6,1,1,5,1
13,1,6,1,1,5,2
13,1,6,1,2,1,1
13,1,6,1,2,1,2
13,1,6,1,2,2,1
13,1,6,1,2,2,2
13,1,6,1,2,3,1
13,1,6,1,2,3,2
13,1,6,1,2,4,1
13,1,6,1,2,4,2
13,1,6,1,2,5,1
13,1,6,1,2,5,2
13,1,6,1,3,1,1
13,1,6,1,3,1,2
13,1,6,1,3,2,1
13,1,6,1,3,2,2
13,1,6,1,3,3,1
13,1,6,1,3,3,2
13,1,6,1,3,4,1
13,1,6,1,3,4,2
13,1,6,1,3,5,1
13,1,6,1,3,5,2
13,1,6,2,1,1,1
13,1,6,2,1,1,2
13,1,6,2,1,2,1
13,1,6,2,1,2,2
13,1,6,2,1,3,1
13,1,6,2,1,3,2
13,1,6,2,1,4,1
13,1,6,2,1,4,2
13,1,6,2,1,5,1
13,1,6,2,1,5,2
13,1,6,2,2,1,1
13,1,6,2,2,1,2
13,1,6,2,2,2,1
13,1,6,2,2,2,2
13,1,6,2,2,3,1
13,1,6,2,2,3,2
13,1,6,2,2,4,1
13,1,6,2,2,4,2
13,1,6,2,2,5,1
13,1,6,2,2,5,2
13,1,6,2,3,1,1
13,1,6,2,3,1,2
13,1,6,2,3,2,1
13,1,6,2,3,2,2
13,1,6,2,3,3,1
13,1,6,2,3,3,2
13,1,6,2,3,4,1
13,1,6,2,3,4,2
13,1,6,2,3,5,1
13,1,6,2,3,5,2
13,1,6,3,1,1,1
13,1,6,3,1,1,2
13,1,6,3,1,2,1
13,1,6,3,1,2,2
13,1,6,3,1,3,1
13,1,6,3,1,3,2
13,1,6,3,1,4,1
13,1,6,3,1,4,2
13,1,6,3,1,5,1
13,1,6,3,1,5,2
13,1,6,3,2,1,1
13,1,6,3,2,1,2
13,1,6,3,2,2,1
13,1,6,3,2,2,2
13,1,6,3,2,3,1
13,1,6,3,2,3,2
13,1,6,3,2,4,1
13,1,6,3,2,4,2
13,1,6,3,2,5,1
13,1,6,3,2,5,2
13,1,6,3,3,1,1
13,1,6,3,3,1,2
13,1,6,3,3,2,1
13,1,6,3,3,2,2
13,1,6,3,3,3,1
13,1,6,3,3,3,2
13,1,6,3,3,4,1
13,1,6,3,3,4,2
13,1,6,3,3,5,1
13,1,6,3,3,5,2
13,2,1,1,1,1,1
13,2,1,1,1,1,2
13,2,1,1,1,2,1
13,2,1,1,1,2,2
13,2,1,1,1,3,1
13,2,1,1,1,3,2
13,2,1,1,1,4,1
13,2,1,1,1,4,2
13,2,1,1,1,5,1
13,2,1,1,1,5,2
13,2,1,1,2,1,1
13,2,1,1,2,1,2
13,2,1,1,2,2,1
13,2,1,1,2,2,2
13,2,1,1,2,3,1
13,2,1,1,2,3,2
13,2,1,1,2,4,1
13,2,1,1,2,4,2
13,2,1,1,2,5,1
13,2,1,1,2,5,2
13,2,1,1,3,1,1
13,2,1,1,3,1,2
13,2,1,1,3,2,1
13,2,1,1,3,2,2
13,2,1,1,3,3,1
13,2,1,1,3,3,2
13,2,1,1,3,4,1
13,2,1,1,3,4,2
13,2,1,1,3,5,1
13,2,1,1,3,5,2
13,2,1,2,1,1,1
13,2,1,2,1,1,2
13,2,1,2,1,2,1
13,2,1,2,1,2,2
13,2,1,2,1,3,1
13,2,1,2,1,3,2
13,2,1,2,1,4,1
13,2,1,2,1,4,2
13,2,1,2,1,5,1
13,2,1,2,1,5,2
13,2,1,2,2,1,1
13,2,1,2,2,1,2
13,2,1,2,2,2,1
13,2,1,2,2,2,2
13,2,1,2,2,3,1
13,2,1,2,2,3,2
13,2,1,2,2,4,1
13,2,1,2,2,4,2
13,2,1,2,2,5,1
13,2,1,2,2,5,2
13,2,1,2,3,1,1
13,2,1,2,3,1,2
13,2,1,2,3,2,1
13,2,1,2,3,2,2
13,2,1,2,3,3,1
13,2,1,2,3,3,2
13,2,1,2,3,4,1
13,2,1,2,3,4,2
13,2,1,2,3,5,1
13,2,1,2,3,5,2
13,2,1,3,1,1,1
13,2,1,3,1,1,2
13,2,1,3,1,2,1
13,2,1,3,1,2,2
13,2,1,3,1,3,1
13,2,1,3,1,3,2
13,2,1,3,1,4,1
13,2,1,3,1,4,2
13,2,1,3,1,5,1
13,2,1,3,1,5,2
13,2,1,3,2,1,1
13,2,1,3,2,1,2
13,2,1,3,2,2,1
13,2,1,3,2,2,2
13,2,1,3,2,3,1
13,2,1,3,2,3,2
13,2,1,3,2,4,1
13,2,1,3,2,4,2
13,2,1,3,2,5,1
13,2,1,3,2,5,2
13,2,1,3,3,1,1
13,2,1,3,3,1,2
13,2,1,3,3,2,1
13,2,1,3,3,2,2
13,2,1,3,3,3,1
13,2,1,3,3,3,2
13,2,1,3,3,4,1
13,2,1,3,3,4,2
13,2,1,3,3,5,1
13,2,1,3,3,5,2
13,2,2,1,1,1,1
13,2,2,1,1,1,2
13,2,2,1,1,2,1
13,2,2,1,1,2,2
13,2,2,1,1,3,1
13,2,2,1,1,3,2
13,2,2,1,1,4,1
13,2,2,1,1,4,2
13,2,2,1,1,5,1
13,2,2,1,1,5,2
13,2,2,1,2,1,1
13,2,2,1,2,1,2
13,2,2,1,2,2,1
13,2,2,1,2,2,2
13,2,2,1,2,3,1
13,2,2,1,2,3,2
13,2,2,1,2,4,1
13,2,2,1,2,4,2
13,2,2,1,2,5,1
13,2,2,1,2,5,2
13,2,2,1,3,1,1
13,2,2,1,3,1,2
13,2,2,1,3,2,1
13,2,2,1,3,2,2
13,2,2,1,3,3,1
13,2,2,1,3,3,2
13,2,2,1,3,4,1
13,2,2,1,3,4,2
13,2,2,1,3,5,1
13,2,2,1,3,5,2
13,2,2,2,1,1,1
13,2,2,2,1,1,2
13,2,2,2,1,2,1
13,2,2,2,1,2,2
13,2,2,2,1,3,1
13,2,2,2,1,3,2
13,2,2,2,1,4,1
13,2,2,2,1,4,2
13,2,2,2,1,5,1
13,2,2,2,1,5,2
13,2,2,2,2,1,1
13,2,2,2,2,1,2
13,2,2,2,2,2,1
13,2,2,2,2,2,2
13,2,2,2,2,3,1
13,2,2,2,2,3,2
13,2,2,2,2,4,1
13,2,2,2,2,4,2
13,2,2,2,2,5,1
13,2,2,2,2,5,2
13,2,2,2,3,1,1
13,2,2,2,3,1,2
13,2,2,2,3,2,1
13,2,2,2,3,2,2
13,2,2,2,3,3,1
13,2,2,2,3,3,2
13,2,2,2,3,4,1
13,2,2,2,3,4,2
13,2,2,2,3,5,1
13,2,2,2,3,5,2
13,2,2,3,1,1,1
13,2,2,3,1,1,2
13,2,2,3,1,2,1
13,2,2,3,1,2,2
13,2,2,3,1,3,1
13,2,2,3,1,3,2
13,2,2,3,1,4,1
13,2,2,3,1,4,2
13,2,2,3,1,5,1
13,2,2,3,1,5,2
13,2,2,3,2,1,1
13,2,2,3,2,1,2
13,2,2,3,2,2,1
13,2,2,3,2,2,2
13,2,2,3,2,3,1
13,2,2,3,2,3,2
13,2,2,3,2,4,1
13,2,2,3,2,4,2
13,2,2,3,2,5,1
13,2,2,3,2,5,2
13,2,2,3,3,1,1
13,2,2,3,3,1,2
13,2,2,3,3,2,1
13,2,2,3,3,2,2
13,2,2,3,3,3,1
13,2,2,3,3,3,2
13,2,2,3,3,4,1
13,2,2,3,3,4,2
13,2,2,3,3,5,1
13,2,2,3,3,5,2
13,2,3,1,1,1,1
13,2,3,1,1,1,2
13,2,3,1,1,2,1
13,2,3,1,1,2,2
13,2,3,1,1,3,1
13,2,3,1,1,3,2
13,2,3,1,1,4,1
13,2,3,1,1,4,2
13,2,3,1,1,5,1
13,2,3,1,1,5,2
13,2,3,1,2,1,1
13,2,3,1,2,1,2
